county_fips,county_name,type,total_2012,obama,romney,total_2016,clinton,trump,r_d_change,median_age,prop_white,prop_college,Winner
51175,Southampton,County,9264,4437,4733,8872,3595,5035,0.13035674517334228,45.6,0.604,0.161,Trump
51177,Spotsylvania,County,57974,25165,31844,62549,24207,34623,0.051318627202931066,37.3,0.701,0.29600000000000004,Trump
51179,Stafford,County,60583,27182,32480,65934,27908,33868,0.0029431488971844028,35,0.647,0.373,Trump
51181,Surry,County,4308,2576,1671,4228,2272,1819,0.10293142326568512,48.2,0.519,0.228,Clinton
51183,Sussex,County,5440,3358,2021,5044,2879,2055,0.0824096480384382,42.2,0.38299999999999995,0.113,Clinton
51185,Tazewell,County,17732,3661,13843,18566,2895,15168,0.0868309688247626,43.7,0.941,0.146,Trump
51187,Warren,County,16698,6452,9869,17951,5169,11773,0.16325508256165783,40.8,0.88,0.2,Trump
51191,Washington,County,25632,7076,18141,25846,5553,19320,0.10096800247176135,45.3,0.955,0.248,Trump
51193,Westmoreland,County,8120,4295,3731,8574,3836,4448,0.14083671450289054,46.5,0.637,0.212,Trump
51195,Wise,County,15018,3760,11076,15163,2701,12086,0.1317920880135861,40,0.919,0.14400000000000002,Trump
51197,Wythe,County,12358,3783,8324,13328,2770,10046,0.17846408671900543,43.9,0.941,0.166,Trump
51199,York,County,33953,13183,20204,34113,12999,18837,-0.03564874787220995,39.5,0.725,0.43200000000000005,Trump
51510,Alexandria,City,73411,52199,20249,75762,57242,13285,-0.14497763670196545,36.2,0.52,0.621,Clinton
51520,Bristol,City,7387,2492,4780,7027,1835,4892,0.12530297331750367,42,0.8809999999999999,0.23399999999999999,Trump
51530,Buena Vista,City,2526,919,1564,2407,693,1430,0.050845860302541956,35.1,0.885,0.162,Trump
51540,Charlottesville,City,21797,16510,4844,22467,17901,2960,-0.12980853922215807,30.3,0.66,0.5,Clinton
51550,Chesapeake,City,110425,55052,53900,112662,52627,54047,0.02303649255272895,36.7,0.589,0.304,Trump
51570,Colonial Heights,City,8624,2544,5941,8457,2367,5681,-0.0020360146703075066,40.6,0.7559999999999999,0.21899999999999997,Trump
51580,Covington,City,2330,1319,975,2382,914,1349,0.3302591323337045,43,0.815,0.113,Trump
51590,Danville,City,20204,12218,7763,18940,11059,7303,0.022190436847220663,41.5,0.444,0.182,Clinton
51595,Emporia,City,2696,1793,886,2366,1530,789,0.023237519157400466,39.5,0.316,0.153,Clinton
51600,Fairfax,City,11629,6651,4775,12028,7367,3702,-0.1433848508895302,39.6,0.591,0.547,Clinton
51610,Falls Church,City,7276,5015,2147,7757,5819,1324,-0.18530397945908222,38.9,0.721,0.802,Clinton
51620,Franklin,City,4360,2833,1496,4061,2519,1421,0.03627462165282197,38.7,0.37799999999999995,0.22399999999999998,Clinton
51630,Fredericksburg,City,11437,7131,4060,11257,6707,3744,0.005300470400281532,29.5,0.601,0.423,Clinton
51640,Galax,City,2277,900,1332,2376,681,1603,0.19832381788903528,45.1,0.742,0.096,Trump
51650,Hampton,City,66490,46966,18640,62277,41312,17902,0.05011773468104175,35.6,0.397,0.24,Clinton
51660,Harrisonburg,City,15593,8654,6565,17987,10212,6262,-0.08563267532433472,24,0.6829999999999999,0.36200000000000004,Clinton
51670,Hopewell,City,9031,5179,3739,9008,4724,3885,0.06631134902810587,36.5,0.499,0.14400000000000002,Clinton
51678,Lexington,City,2687,1486,1146,2465,1514,766,-0.1769131065282394,21.5,0.805,0.449,Clinton
51680,Lynchburg,City,36448,15948,19806,35657,14792,17982,-0.016385929870845584,28.6,0.63,0.33299999999999996,Trump
51683,Manassas,City,15200,8478,6463,15411,8423,5953,-0.027709338681529583,33.4,0.435,0.301,Clinton
51685,Manassas Park,City,4656,2879,1699,5232,3204,1733,-0.027718008133926053,33.1,0.375,0.304,Clinton
51690,Martinsville,City,6284,3855,2312,5907,3533,2149,0.011245949173789321,42.7,0.466,0.183,Clinton
51700,Newport News,City,79444,51100,27230,75637,45618,25468,0.03405921075453411,32.9,0.447,0.247,Clinton
51710,Norfolk,City,87043,62687,23147,83385,57023,21552,0.028869980900893932,30.2,0.43799999999999994,0.266,Clinton
51720,Norton,City,1492,566,895,1460,383,1021,0.2164769179918469,39.6,0.863,0.17300000000000001,Trump
51730,Petersburg,City,15908,14283,1527,13786,12021,1451,0.035140838291086274,38.8,0.15,0.166,Clinton
51735,Poquoson,City,7106,1679,5312,7177,1601,5092,-0.024843155150410356,43.4,0.924,0.39799999999999996,Trump
51740,Portsmouth,City,45922,32501,12858,43261,28497,12795,0.06478733967532363,35,0.389,0.21100000000000002,Clinton
51750,Radford,City,5399,2732,2520,6082,2925,2638,-0.007921894021199076,22.7,0.83,0.341,Clinton
51760,Richmond,City,97569,75921,20050,103406,81259,15581,-0.06251624556950619,33.2,0.39799999999999996,0.36700000000000005,Clinton
51770,Roanoke,City,40155,24134,14991,39466,22286,14789,0.037731711752468255,38.1,0.601,0.22899999999999998,Clinton
51775,Salem,City,12318,4760,7299,12225,4202,7226,0.04124083963116473,40.6,0.857,0.26899999999999996,Trump
51790,Staunton,City,11210,5728,5272,11255,5333,5133,0.022908086048385273,42.6,0.8170000000000001,0.337,Clinton
51800,Suffolk,City,42566,24267,17820,43240,23280,18006,0.0294885130879953,38.4,0.5,0.266,Clinton
51810,Virginia Beach,City,196641,94299,99291,203019,91032,98224,0.010038891781142714,35.4,0.629,0.342,Trump
51820,Waynesboro,City,8791,3840,4790,9204,3764,4801,0.004603338495955955,39.5,0.774,0.226,Trump
51830,Williamsburg,City,7748,4903,2682,7626,5206,1925,-0.14358403667804392,24.4,0.687,0.5670000000000001,Clinton
51840,Winchester,City,10296,5094,4946,10665,5164,4790,-0.020693464997262462,37,0.6759999999999999,0.313,Clinton
53001,Adams,County,4793,1540,3171,4782,1299,3083,0.032777743019388295,28.6,0.35700000000000004,0.138,Trump
53003,Asotin,County,9901,4003,5654,9974,3134,5741,0.09462875367684084,44.6,0.915,0.21,Trump
53005,Benton,County,79564,28145,49461,83592,26360,47194,-0.01867573360468683,35.5,0.722,0.294,Trump
53007,Chelan,County,32256,13112,18402,34433,13032,18114,-0.016409522256588455,39.8,0.688,0.253,Trump
53009,Clallam,County,38066,18580,18437,40533,17677,18794,0.03131442563204933,50.3,0.836,0.243,Trump
53011,Clark,County,190805,93382,92951,208485,92757,92441,7.431540861548829e-4,37.8,0.8,0.27899999999999997,Clinton
53013,Columbia,County,2259,645,1568,2229,526,1497,0.027033484128388463,49.9,0.879,0.254,Trump
53015,Cowlitz,County,44621,22726,20746,47142,17908,24185,0.17752463114998843,41.7,0.846,0.159,Trump
53017,Douglas,County,14945,5166,9425,15901,4918,9603,0.009657303915585613,37.1,0.653,0.177,Trump
53019,Ferry,County,3440,1294,1995,3644,1098,2202,0.09918470630281062,48.2,0.738,0.18100000000000002,Trump
53021,Franklin,County,22643,8398,13748,24614,8886,13206,-0.060766239392314125,29.3,0.41600000000000004,0.158,Trump
53023,Garfield,County,1278,336,913,1266,279,851,3.30047690036972e-4,47.7,0.922,0.242,Trump
53025,Grant,County,27558,8950,17852,29258,7810,18518,0.04295757560098912,32.3,0.555,0.156,Trump
53027,Grays Harbor,County,28684,15960,11914,29301,12020,14067,0.2109153431605885,43,0.8,0.153,Trump
53029,Island,County,42100,21478,19605,44273,20960,18465,-0.011865577820361288,44.3,0.807,0.317,Clinton
53031,Jefferson,County,19829,12739,6405,20879,12656,6037,0.002414037694591087,56.2,0.887,0.38799999999999996,Clinton
53033,King,County,967154,668004,275700,1028450,718322,216339,-0.0824694182346068,37.2,0.622,0.491,Clinton
53035,Kitsap,County,123367,67277,52846,128770,63156,49018,0.00718352320498955,39.2,0.777,0.312,Clinton
53037,Kittitas,County,18171,7949,9782,19615,7489,10100,0.03223739333162218,33.7,0.846,0.34700000000000003,Trump
53039,Klickitat,County,10274,4598,5316,11074,4194,5789,0.07414591677999341,45.5,0.823,0.244,Trump
53041,Lewis,County,34047,12664,20452,35199,9654,21992,0.12177870113325753,43.1,0.845,0.155,Trump
53043,Lincoln,County,5872,1673,4063,5861,1244,4108,0.08163746456859106,48.7,0.9209999999999999,0.22,Trump
53045,Mason,County,28242,14764,12761,29003,11993,13677,0.12898569818701838,45.9,0.8170000000000001,0.18600000000000003,Trump
53047,Okanogan,County,16850,7108,9221,17556,6298,9610,0.06325285833953645,43,0.6629999999999999,0.184,Trump
53049,Pacific,County,10527,5711,4499,10972,4620,5360,0.18257692032372982,52.2,0.828,0.17,Trump
53051,Pend Oreille,County,6668,2508,3952,7016,1934,4373,0.1310772908132171,49.8,0.89,0.187,Trump
53053,Pierce,County,342910,186430,148467,360017,172538,146824,0.03928394417085447,36,0.6859999999999999,0.254,Clinton
53055,San Juan,County,10594,7125,3111,11134,7172,2688,-0.023836662003929088,55.1,0.8909999999999999,0.47,Clinton
53057,Skagit,County,55273,28688,25071,58059,26690,24736,0.031783402360845016,41.3,0.755,0.247,Clinton
53059,Skamania,County,5466,2628,2687,5829,2232,2928,0.10860898580642342,45.4,0.883,0.22699999999999998,Trump
53061,Snohomish,County,329817,188516,133016,354734,185227,128255,0.00767028681677856,37.8,0.72,0.306,Clinton
53063,Spokane,County,223830,102295,115285,236050,93767,113435,0.025286214290445315,37.3,0.856,0.287,Trump
53065,Stevens,County,22164,7762,13691,23395,5767,15161,0.13403292497255398,46.4,0.871,0.18,Trump
53067,Thurston,County,127063,74037,49287,134191,68798,48624,0.044447312873535816,38.8,0.764,0.33299999999999996,Clinton
53069,Wahkiakum,County,2294,1094,1119,2429,832,1344,0.1998883370548333,53.1,0.897,0.151,Trump
53071,Walla Walla,County,25108,9768,14648,26228,9694,13651,-0.04349106324609364,37.3,0.726,0.28600000000000003,Trump
53073,Whatcom,County,103029,57089,42703,113339,60340,40599,-0.034545995842692606,36.8,0.8009999999999999,0.326,Clinton
53075,Whitman,County,17121,8037,8507,18028,8146,7403,-0.06866533517091773,24.2,0.7979999999999999,0.498,Clinton
53077,Yakima,County,76981,33217,42239,79741,31291,41735,0.013776278322820953,32.6,0.45,0.153,Trump
54001,Barbour,County,5761,1768,3824,6116,1222,4527,0.18350338744011657,41.1,0.958,0.128,Trump
54003,Berkeley,County,37191,14275,22156,43364,12321,28244,0.15528787947862419,38.4,0.851,0.203,Trump
54005,Boone,County,8502,2790,5467,8779,1790,6504,0.22209611755818243,42,0.9790000000000001,0.087,Trump
54007,Braxton,County,4805,1998,2725,5100,1321,3537,0.2832090755136602,45,0.972,0.122,Trump
54009,Brooke,County,9296,4005,5060,9696,2568,6625,0.30493029401907484,46.2,0.9590000000000001,0.198,Trump
54011,Cabell,County,32158,13568,17985,33585,11447,19850,0.1128479133607869,38.3,0.902,0.261,Trump
54013,Calhoun,County,2207,818,1319,2638,456,2035,0.37155453064255883,47.6,0.9740000000000001,0.11900000000000001,Trump
54015,Clay,County,3012,931,1971,2995,568,2300,0.23301163736816777,43.4,0.9790000000000001,0.10099999999999999,Trump
54017,Doddridge,County,2769,575,2130,2863,362,2358,0.13559622420120365,41.9,0.9570000000000001,0.14800000000000002,Trump
54019,Fayette,County,14070,5419,8350,15478,4290,10357,0.18366014242376066,43.4,0.925,0.132,Trump
54021,Gilmer,County,2509,840,1595,2579,545,1896,0.22292975223279177,37.8,0.833,0.16,Trump
54023,Grant,County,4586,718,3783,4965,512,4346,0.1038670167843021,46.2,0.968,0.14,Trump
54025,Greenbrier,County,12963,4710,7930,14224,3765,9556,0.15872950611270792,45.4,0.934,0.196,Trump
54027,Hampshire,County,7990,2299,5523,8679,1580,6692,0.18550356974908572,45.1,0.961,0.114,Trump
54029,Hancock,County,12120,4627,7226,12802,3262,8909,0.22666400876925685,45.7,0.9420000000000001,0.182,Trump
54031,Hardy,County,5170,1482,3536,5674,1155,4274,0.15240831810102623,44.7,0.909,0.147,Trump
54033,Harrison,County,26154,9732,15876,28351,7694,18750,0.15505234261080836,41.8,0.945,0.21600000000000003,Trump
54035,Jackson,County,11548,3854,7408,12304,2663,9020,0.2089023290811282,42.9,0.973,0.177,Trump
54037,Jefferson,County,22154,10398,11258,24508,9518,13204,0.11158069456354888,40.1,0.841,0.299,Trump
54039,Kanawha,County,75082,32480,41364,76888,28263,43850,0.08439947609210677,42.9,0.879,0.252,Trump
54041,Lewis,County,6289,1736,4375,6936,1347,5274,0.14655490913172392,43.4,0.9670000000000001,0.14,Trump
54043,Lincoln,County,6818,2227,4383,7137,1459,5307,0.22294034701884702,42.9,0.981,0.09,Trump
54045,Logan,County,11953,3469,8222,12440,2092,9897,0.2297708159207701,42.9,0.96,0.08900000000000001,Trump
54047,McDowell,County,6188,2109,3959,6246,1438,4629,0.21192122751709125,44.3,0.887,0.052000000000000005,Trump
54049,Marion,County,21553,8959,12054,23364,6964,14668,0.1861385596419533,41.3,0.929,0.218,Trump
54051,Marshall,County,12923,4484,8135,13351,2918,9666,0.22291076603930038,44.5,0.9690000000000001,0.161,Trump
54053,Mason,County,9790,3778,5741,10269,2081,7654,0.3421906088825507,43.6,0.968,0.114,Trump
54055,Mercer,County,21281,5432,15450,23197,4704,17404,0.07673603347527336,42.4,0.904,0.195,Trump
54057,Mineral,County,10988,2885,7833,11671,2050,9070,0.15118144635050573,43.3,0.9420000000000001,0.124,Trump
54059,Mingo,County,8830,2428,6191,9510,1370,7911,0.26164149795232533,41.6,0.96,0.099,Trump
54061,Monongalia,County,31500,13826,16831,36764,14699,18432,0.0061427241625261475,30.6,0.8859999999999999,0.392,Trump
54063,Monroe,County,5213,1455,3616,5852,1111,4443,0.15483741878281843,47,0.965,0.134,Trump
